Rank,Metropolitan Statistical Area,2010 Census,2000 Census,Growth (%)
1,"New York-Northern New Jersey-Long Island, NY-NJ-PA","19,006,798","18,323,002",3.7
2,"Los Angeles-Long Beach-Santa Ana, CA","12,872,808","12,365,627",4.1
3,"Chicago-Joliet-Naperville, IL-IN-WI","9,569,624","9,098,316",5.2
4,"Dallas-Fort Worth-Arlington, TX","6,300,006","5,161,544",22.1
5,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,838,471","5,687,147",2.7
6,"Houston-Sugar Land-Baytown, TX","5,728,143","4,715,407",21.5
7,"Miami-Fort Lauderdale-Pompano Beach, FL","5,414,772","5,007,564",8.1
8,"Atlanta-Sandy Springs-Marietta, GA","5,376,285","4,247,981",26.6
9,"Washington-Arlington-Alexandria, DC-VA-MD-WV","5,358,130","4,796,183",11.7
10,"Boston-Cambridge-Quincy, MA-NH","4,522,858","4,391,344",3
11,"Detroit-Warren-Livonia, MI","4,425,110","4,452,557",-0.6
12,"Phoenix-Mesa-Glendale, AZ","4,281,899","3,251,876",31.7
13,"San Francisco-Oakland-Fremont, CA","4,274,531","4,123,740",3.7
14,"Riverside-San Bernardino-Ontario, CA","4,115,871","3,254,821",26.5
15,"Seattle-Tacoma-Bellevue, WA","3,344,813","3,043,878",9.9
16,"Minneapolis-St. Paul-Bloomington, MN-WI","3,229,878","2,968,806",8.8
17,"San Diego-Carlsbad-San Marcos, CA","3,001,072","2,813,833",6.7
18,"St. Louis, MO-IL","2,816,710","2,698,687",4.4
19,"Tampa-St. Petersburg-Clearwater, FL","2,733,761","2,395,997",14.1
20,"Baltimore-Towson, MD","2,667,117","2,552,994",4.5
21,"Denver-Aurora-Broomfield, CO","2,506,626","2,179,240",15
22,"Pittsburgh, PA","2,351,192","2,431,087",-3.3
23,"Portland-Vancouver-Hillsboro, OR-WA","2,207,462","1,927,881",14.5
24,"Cincinnati-Middletown, OH-KY-IN","2,155,137","2,009,632",7.2
25,"Sacramento--Arden-Arcade--Roseville, CA","2,109,832","1,796,857",17.4
26,"Cleveland-Elyria-Mentor, OH","2,088,291","2,148,143",-2.8
27,"Orlando-Kissimmee-Sanford, FL","2,054,574","1,644,561",24.9
28,"San Antonio-New Braunfels, TX","2,031,445","1,711,703",18.7
29,"Kansas City, MO-KS","2,002,047","1,836,038",9
30,"Las Vegas-Paradise, NV","1,865,746","1,375,765",35.6
31,"San Jose-Sunnyvale-Santa Clara, CA","1,819,198","1,735,819",4.8
32,"Columbus, OH","1,773,120","1,612,694",9.9
33,"Indianapolis-Carmel, IN","1,715,459","1,525,104",12.5
34,"Charlotte-Gastonia-Rock Hill, NC-SC","1,701,799","1,330,448",27.9
35,"Virginia Beach-Norfolk-Newport News, VA-NC","1,658,292","1,576,370",5.2
36,"Austin-Round Rock-San Marcos, TX","1,652,602","1,249,763",32.2
37,"Providence-New Bedford-Fall River, RI-MA","1,596,611","1,582,997",0.9
38,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,550,733","1,311,789",18.2
39,"Milwaukee-Waukesha-West Allis, WI","1,549,308","1,500,741",3.2
40,"Jacksonville, FL","1,313,228","1,122,750",17
41,"Memphis, TN-MS-AR","1,285,732","1,205,204",6.7
42,"Louisville/Jefferson County, KY-IN","1,244,696","1,161,975",7.1
43,"Richmond, VA","1,225,626","1,096,957",11.7
44,"Oklahoma City, OK","1,206,142","1,095,421",10.1
45,"Hartford-West Hartford-East Hartford, CT","1,190,512","1,148,618",3.6
46,"New Orleans-Metairie-Kenner, LA","1,134,029","1,316,510",-13.9
47,"Buffalo-Niagara Falls, NY","1,124,309","1,170,111",-3.9
48,"Birmingham-Hoover, AL","1,117,608","1,052,238",6.2
49,"Salt Lake City, UT","1,115,692","968,858",15.2
50,"Raleigh-Cary, NC","1,088,765","797,071",36.6
51,"Rochester, NY","1,034,090","1,037,831",-0.4
52,"Tucson, AZ","1,012,018","843,746",19.9
53,"Tulsa, OK","916,079","859,532",6.6
54,"Fresno, CA","909,153","799,407",13.7
55,"Honolulu, HI","905,034","876,156",3.3
56,"Bridgeport-Stamford-Norwalk, CT","895,030","882,567",1.4
57,"Albany-Schenectady-Troy, NY","853,919","825,875",3.4
58,"New Haven-Milford, CT","846,101","824,008",2.7
59,"Albuquerque, NM","845,913","729,649",15.9
60,"Omaha-Council Bluffs, NE-IA","837,925","767,041",9.2
61,"Dayton, OH","836,544","848,153",-1.4
62,"Allentown-Bethlehem-Easton, PA-NJ","808,210","740,395",9.2
63,"Bakersfield-Delano, CA","800,458","661,645",21
64,"Oxnard-Thousand Oaks-Ventura, CA","797,740","753,197",5.9
65,"Worcester, MA","783,806","750,963",4.4
66,"Grand Rapids-Wyoming, MI","776,833","740,482",4.9
67,"Baton Rouge, LA","774,327","705,973",9.7
68,"El Paso, TX","742,062","679,622",9.2
69,"Columbia, SC","728,063","647,158",12.5
70,"McAllen-Edinburg-Mission, TX","726,604","569,463",27.6
71,"Greensboro-High Point, NC","705,684","643,430",9.7
72,"Akron, OH","698,553","694,960",0.5
73,"Knoxville, TN","691,152","616,079",12.2
74,"North Port-Bradenton-Sarasota, FL","687,823","589,959",16.6
75,"Springfield, MA","687,558","680,014",1.1
76,"Little Rock-North Little Rock-Conway, AR","675,069","610,518",10.6
77,"Poughkeepsie-Newburgh-Middletown, NY","672,525","621,517",8.2
78,"Stockton, CA","672,388","563,598",19.3
79,"Toledo, OH","649,104","659,188",-1.5
80,"Charleston-North Charleston-Summerville, SC","644,506","549,033",17.4
81,"Syracuse, NY","643,794","650,154",-1
82,"Greenville-Mauldin-Easley, SC","624,715","559,940",11.6
83,"Colorado Springs, CO","617,714","537,484",14.9
84,"Wichita, KS","603,716","571,166",5.7
85,"Boise City-Nampa, ID","599,753","464,840",29
86,"Cape Coral-Fort Myers, FL","593,136","440,888",34.5
87,"Lakeland-Winter Haven, FL","580,594","483,924",20
88,"Youngstown-Warren-Boardman, OH-PA","565,947","602,964",-6.1
89,"Madison, WI","561,505","501,774",11.9
90,"Des Moines-West Des Moines, IA","556,230","481,394",15.5
91,"Scranton--Wilkes-Barre, PA","549,150","560,625",-2
92,"Provo-Orem, UT","540,820","376,774",43.5
93,"Jackson, MS","537,285","497,197",8.1
94,"Palm Bay-Melbourne-Titusville, FL","536,521","476,230",12.7
95,"Augusta-Richmond County, GA-SC","534,218","499,684",6.9
96,"Ogden-Clearfield, UT","531,488","442,656",20.1
97,"Harrisburg-Carlisle, PA","531,108","509,074",4.3
98,"Chattanooga, TN-GA","518,441","476,531",8.8
99,"Lancaster, PA","514,065","470,658",9.2
100,"Modesto, CA","510,694","446,997",14.2